Date,Yield,Country,Pred Type
2012Q2,2.53666666666667,Austria,Train
2012Q3,2.02666666666667,Austria,Train
2012Q4,1.88,Austria,Train
2013Q1,1.87666666666667,Austria,Train
2013Q2,1.81,Austria,Train
2013Q3,2.20666666666667,Austria,Train
2013Q4,2.14666666666667,Austria,Train
2014Q1,1.98333333333333,Austria,Train
2014Q2,1.68,Austria,Train
2014Q3,1.32333333333333,Austria,Train
2014Q4,0.963333333333334,Austria,Train
2015Q1,0.45,Austria,Train
2015Q2,0.693096666666666,Austria,Train
2015Q3,1.00486,Austria,Train
2015Q4,0.83745,Austria,Train
2016Q1,0.583486666666666,Austria,Train
2016Q2,0.35796,Austria,Train
2016Q3,0.137856666666667,Austria,Train
2016Q4,0.422266666666667,Austria,Train
2017Q1,0.584216666666667,Austria,Train
2017Q2,0.56556,Austria,Train
2017Q3,0.64217,Austria,Train
2017Q4,0.541113333333333,Austria,Train
2018Q1,0.772763333333333,Austria,Train
2018Q2,0.743186666666667,Austria,Train
2018Q3,0.61955,Austria,Train
2018Q4,0.609106666666667,Austria,Train
2001Q1,5.13333333333333,Belgium,Train
2001Q2,5.30666666666667,Belgium,Train
2001Q3,5.21333333333333,Belgium,Train
2001Q4,4.87,Belgium,Train
2002Q1,5.2,Belgium,Train
2002Q2,5.33,Belgium,Train
2002Q3,4.83,Belgium,Train
2002Q4,4.58666666666667,Belgium,Train
2003Q1,4.18,Belgium,Train
2003Q2,3.99333333333333,Belgium,Train
2003Q3,4.17666666666667,Belgium,Train
2003Q4,4.37333333333333,Belgium,Train
2004Q1,4.19666666666667,Belgium,Train
2004Q2,4.37333333333333,Belgium,Train
2004Q3,4.21,Belgium,Train
2004Q4,3.83,Belgium,Train
2005Q1,3.64,Belgium,Train
2005Q2,3.43,Belgium,Train
2005Q3,3.25,Belgium,Train
2005Q4,3.39333333333333,Belgium,Train
2006Q1,3.53666666666667,Belgium,Train
2006Q2,4.00333333333333,Belgium,Train
2006Q3,3.91666666666667,Belgium,Train
2006Q4,3.80333333333333,Belgium,Train
2007Q1,4.06,Belgium,Train
2007Q2,4.4,Belgium,Train
2007Q3,4.48333333333333,Belgium,Train
2007Q4,4.37,Belgium,Train
2008Q1,4.23666666666667,Belgium,Train
2008Q2,4.57333333333333,Belgium,Train
2008Q3,4.66333333333333,Belgium,Train
2008Q4,4.19666666666667,Belgium,Train
2009Q1,4.13333333333333,Belgium,Train
2009Q2,4.02666666666667,Belgium,Train
2009Q3,3.80333333333333,Belgium,Train
2009Q4,3.64333333333333,Belgium,Train
2010Q1,3.70333333333333,Belgium,Train
2010Q2,3.44,Belgium,Train
2010Q3,3.14666666666667,Belgium,Train
2010Q4,3.56,Belgium,Train
2011Q1,4.18666666666667,Belgium,Train
2011Q2,4.21333333333333,Belgium,Train
2011Q3,4.07,Belgium,Train
2011Q4,4.46333333333333,Belgium,Train
2012Q1,3.78,Belgium,Train
2012Q2,3.33,Belgium,Train
2012Q3,2.61333333333333,Belgium,Train
2012Q4,2.27666666666667,Belgium,Train
2013Q1,2.34,Belgium,Train
2013Q2,2.18,Belgium,Train
2013Q3,2.64666666666667,Belgium,Train
2013Q4,2.47333333333333,Belgium,Train
2014Q1,2.37,Belgium,Train
2014Q2,1.99333333333333,Belgium,Train
2014Q3,1.43666666666667,Belgium,Train
2014Q4,1.05333333333333,Belgium,Train
2015Q1,0.616666666666666,Belgium,Train
2015Q2,0.83,Belgium,Train
2015Q3,1.05333333333333,Belgium,Train
2015Q4,0.86,Belgium,Train
2016Q1,0.733333333333334,Belgium,Train
2016Q2,0.51,Belgium,Train
2016Q3,0.176666666666667,Belgium,Train
2016Q4,0.483333333333333,Belgium,Train
2017Q1,0.813333333333333,Belgium,Train
2017Q2,0.723333333333333,Belgium,Train
2017Q3,0.753333333333333,Belgium,Train
2017Q4,0.6,Belgium,Train
2018Q1,0.846666666666667,Belgium,Train
2018Q2,0.81,Belgium,Train
2018Q3,0.72,Belgium,Train
2018Q4,0.803333333333333,Belgium,Train
2001Q1,5.38333333333333,Canada,Train
2001Q2,5.72031962466667,Canada,Train
2001Q3,5.54467228666667,Canada,Train
2001Q4,5.27276372766667,Canada,Train
2002Q1,5.443878788,Canada,Train
2002Q2,5.55951515166667,Canada,Train
2002Q3,5.098810245,Canada,Train
2002Q4,5.06142424233333,Canada,Train
2003Q1,4.99032034633333,Canada,Train
2003Q2,4.67063492066667,Canada,Train
2003Q3,4.78077489166667,Canada,Train
2003Q4,4.80044808966667,Canada,Train
2004Q1,4.43270841966667,Canada,Train
2004Q2,4.772861472,Canada,Train
2004Q3,4.661111111,Canada,Train
2004Q4,4.45174603166667,Canada,Train
2005Q1,4.274560606,Canada,Train
2005Q2,4.031933622,Canada,Train
2005Q3,3.89617532466667,Canada,Train
2005Q4,4.065047619,Canada,Train
2006Q1,4.13287094533333,Canada,Train
2006Q2,4.41889952166667,Canada,Train
2006Q3,4.25509956733333,Canada,Train
2006Q4,4.02416875533333,Canada,Train
2007Q1,4.09507575766667,Canada,Train
2007Q2,4.35902813866667,Canada,Train
2007Q3,4.45831738433333,Canada,Train
2007Q4,4.16664843933333,Canada,Train
2008Q1,3.72839393933333,Canada,Train
2008Q2,3.670021645,Canada,Train
2008Q3,3.627635642,Canada,Train
2008Q4,3.39515835033333,Canada,Train
2009Q1,2.88627211966667,Canada,Train
2009Q2,3.205125541,Canada,Train
2009Q3,3.41976839833333,Canada,Train
2009Q4,3.41130952366667,Canada,Train
2010Q1,3.466372998,Canada,Train
2010Q2,3.47107575766667,Canada,Train
2010Q3,3.00539682533333,Canada,Train
2010Q4,2.99771428566667,Canada,Train
2011Q1,3.31229672,Canada,Train
2011Q2,3.155877345,Canada,Train
2011Q3,2.52717676766667,Canada,Train
2011Q4,2.13679365066667,Canada,Train
2012Q1,2.035939394,Canada,Train
2012Q2,1.911463925,Canada,Train
2012Q3,1.773634465,Canada,Train
2012Q4,1.772602719,Canada,Train
2013Q1,1.91691945766667,Canada,Train
2013Q2,1.96498484866667,Canada,Train
2013Q3,2.58253679633333,Canada,Train
2013Q4,2.58339393933333,Canada,Train
2014Q1,2.46945887433333,Canada,Train
2014Q2,2.352857143,Canada,Train
2014Q3,2.145832612,Canada,Train
2014Q4,1.95517240066667,Canada,Train
2015Q1,1.44218386866667,Canada,Train
2015Q2,1.644984127,Canada,Train
2015Q3,1.48082467533333,Canada,Train
2015Q4,1.51878571433333,Canada,Train
2016Q1,1.21689393933333,Canada,Train
2016Q2,1.28479076466667,Canada,Train
2016Q3,1.059972583,Canada,Train
2016Q4,1.445373016,Canada,Train
2017Q1,1.71294468033333,Canada,Train
2017Q2,1.51302232866667,Canada,Train
2017Q3,1.94704545466667,Canada,Train
2017Q4,1.961595656,Canada,Train
2018Q1,2.23698792433333,Canada,Train
2018Q2,2.27784992766667,Canada,Train
2018Q3,2.27876053766667,Canada,Train
2018Q4,2.31805004966667,Canada,Train
2004Q3,6.32666666666667,Chile,Train
2004Q4,6.30333333333333,Chile,Train
2005Q1,5.99666666666667,Chile,Train
2005Q2,5.90666666666667,Chile,Train
2005Q3,5.84333333333333,Chile,Train
2005Q4,6.45,Chile,Train
2006Q1,6.31,Chile,Train
2006Q2,6.51,Chile,Train
2006Q3,6.1,Chile,Train
2006Q4,5.58,Chile,Train
2007Q1,5.46,Chile,Train
2007Q2,6.16,Chile,Train
2007Q3,6.32666666666667,Chile,Train
2007Q4,6.40333333333333,Chile,Train
2008Q1,6.7225874156666645,Chile,Train
2008Q2,7.041841498,Chile,Train
2008Q3,7.78241474766667,Chile,Train
2008Q4,6.479314511,Chile,Train
2009Q1,5.10076319233333,Chile,Train
2009Q2,5.672742383,Chile,Train
2009Q3,5.73575303666667,Chile,Train
2009Q4,6.15192248933333,Chile,Train
2010Q1,6.417312471,Chile,Train
2010Q2,6.40089106633333,Chile,Train
2010Q3,6.06526328766667,Chile,Train
2010Q4,6.12802963466667,Chile,Train
2011Q1,6.67106955666667,Chile,Train
2011Q2,6.32390787333333,Chile,Train
2011Q3,5.59891656566667,Chile,Train
2011Q4,5.28468446833333,Chile,Train
2012Q1,5.384602029,Chile,Train
2012Q2,5.56175344833333,Chile,Train
2012Q3,5.292276356,Chile,Train
2012Q4,5.463650333,Chile,Train
2013Q1,5.629134298,Chile,Train
2013Q2,5.241192661,Chile,Train
2013Q3,5.27693272533333,Chile,Train
2013Q4,5.08768890033333,Chile,Train
2014Q1,5.02521795733333,Chile,Train
2014Q2,4.91014770233333,Chile,Train
2014Q3,4.531706974,Chile,Train
2014Q4,4.47938843433333,Chile,Train
2015Q1,4.24320122166667,Chile,Train
2015Q2,4.56730433233333,Chile,Train
2015Q3,4.55757633966667,Chile,Train
2015Q4,4.55280396366667,Chile,Train
2016Q1,4.48324755666667,Chile,Train
2016Q2,4.47996678166667,Chile,Train
2016Q3,4.30659572033333,Chile,Train
2016Q4,4.35129723933333,Chile,Train
2017Q1,4.173561557,Chile,Train
2017Q2,3.97924317833333,Chile,Train
2017Q3,4.28908871233333,Chile,Train
2017Q4,4.53793993266667,Chile,Train
2018Q1,4.52120048333333,Chile,Train
2018Q2,4.49889809433333,Chile,Train
2018Q3,4.51460194933333,Chile,Train
2018Q4,4.45672859333333,Chile,Train
2003Q1,15.4134261133333,Colombia,Train
2003Q2,15.4108935833333,Colombia,Train
2003Q3,15.3136368866667,Colombia,Train
2003Q4,14.79470198,Colombia,Train
2004Q1,14.0286279833333,Colombia,Train
2004Q2,14.16911905,Colombia,Train
2004Q3,15.0630614733333,Colombia,Train
2004Q4,14.05716417,Colombia,Train
2005Q1,13.4382622933333,Colombia,Train
2005Q2,13.1850748766667,Colombia,Train
2005Q3,10.4136286896667,Colombia,Train
2005Q4,9.548354079,Colombia,Train
2006Q1,7.85515135266667,Colombia,Train
2006Q2,10.0125658223333,Colombia,Train
2006Q3,9.59646022433333,Colombia,Train
2006Q4,9.240683883,Colombia,Train
2007Q1,9.71988849566666,Colombia,Train
2007Q2,9.92166051966666,Colombia,Train
2007Q3,10.2314439396667,Colombia,Train
2007Q4,10.22580045,Colombia,Train
2008Q1,11.42513959,Colombia,Train
2008Q2,11.70050632,Colombia,Train
2008Q3,12.0509246366667,Colombia,Train
2008Q4,12.4251167233333,Colombia,Train
2009Q1,9.98463208233333,Colombia,Train
2009Q2,9.58972860066666,Colombia,Train
2009Q3,9.85426107133333,Colombia,Train
2009Q4,8.81340113266667,Colombia,Train
2010Q1,9.401572518,Colombia,Train
2010Q2,8.63734184833333,Colombia,Train
2010Q3,7.88404591733333,Colombia,Train
2010Q4,7.98157506366667,Colombia,Train
2011Q1,8.70615424733334,Colombia,Train
2011Q2,8.287284542,Colombia,Train
2011Q3,7.65052795633333,Colombia,Train
2011Q4,7.76894139666667,Colombia,Train
2012Q1,7.432901258,Colombia,Train
2012Q2,7.201151306,Colombia,Train
2012Q3,6.65872818333333,Colombia,Train
2012Q4,5.98952411433333,Colombia,Train
2013Q1,5.165946118,Colombia,Train
2013Q2,6.11356818666667,Colombia,Train
2013Q3,7.52721849033333,Colombia,Train
2013Q4,7.185203187,Colombia,Train
2014Q1,7.340567181,Colombia,Train
2014Q2,6.76794122633333,Colombia,Train
2014Q3,6.97104584533333,Colombia,Train
2014Q4,7.146978774,Colombia,Train
2015Q1,7.13099565466667,Colombia,Train
2015Q2,7.49333333333333,Colombia,Train
2015Q3,8.25,Colombia,Train
2015Q4,8.61333333333334,Colombia,Train
2016Q1,8.91333333333333,Colombia,Train
2016Q2,7.99,Colombia,Train
2016Q3,7.39666666666666,Colombia,Train
2016Q4,7.39,Colombia,Train
2017Q1,6.98333333333333,Colombia,Train
2017Q2,6.56333333333333,Colombia,Train
2017Q3,6.90666666666667,Colombia,Train
2017Q4,6.81333333333333,Colombia,Train
2018Q1,6.82666666666667,Colombia,Train
2018Q2,6.82666666666667,Colombia,Train
2018Q3,7.12,Colombia,Train
2018Q4,7.26333333333333,Colombia,Train
2011Q4,9.8,Costa Rica,Train
2012Q1,9.97,Costa Rica,Train
2012Q2,10.9725,Costa Rica,Train
2012Q3,11.975,Costa Rica,Train
2012Q4,10.8333333333333,Costa Rica,Train
2013Q1,8.48666666666666,Costa Rica,Train
2013Q2,8.48666666666666,Costa Rica,Train
2013Q3,8.235,Costa Rica,Train
2013Q4,9.0075,Costa Rica,Train
2014Q1,9.78,Costa Rica,Train
2014Q2,9.27666666666666,Costa Rica,Train
2014Q3,10.05,Costa Rica,Train
2014Q4,10.1866666666667,Costa Rica,Train
2015Q1,10.1433333333333,Costa Rica,Train
2015Q2,10.0266666666667,Costa Rica,Train
2015Q3,10.0133333333333,Costa Rica,Train
2015Q4,10.0466666666667,Costa Rica,Train
2016Q1,9.45,Costa Rica,Train
2016Q2,8.83,Costa Rica,Train
2016Q3,8.83,Costa Rica,Train
2016Q4,8.51,Costa Rica,Train
2017Q1,9.615,Costa Rica,Train
2017Q2,9.375,Costa Rica,Train
2017Q3,9.71666666666667,Costa Rica,Train
2017Q4,10.2933333333333,Costa Rica,Train
2018Q1,10.58,Costa Rica,Train
2018Q2,10.2366666666667,Costa Rica,Train
2018Q3,10.2533333333333,Costa Rica,Train
2018Q4,10.38,Costa Rica,Train
2001Q1,6.52,Czech Republic,Train
2001Q2,6.48666666666667,Czech Republic,Train
2001Q3,6.69333333333333,Czech Republic,Train
2001Q4,5.55666666666667,Czech Republic,Train
2002Q1,5.39333333333333,Czech Republic,Train
2002Q2,5.28333333333333,Czech Republic,Train
2002Q3,4.61333333333333,Czech Republic,Train
2002Q4,4.21666666666667,Czech Republic,Train
2003Q1,3.88666666666667,Czech Republic,Train
2003Q2,3.71333333333333,Czech Republic,Train
2003Q3,4.18333333333333,Czech Republic,Train
2003Q4,4.68,Czech Republic,Train
2004Q1,4.70666666666667,Czech Republic,Train
2004Q2,4.90666666666667,Czech Republic,Train
2004Q3,5.11666666666667,Czech Republic,Train
2004Q4,4.55333333333333,Czech Republic,Train
2005Q1,3.74,Czech Republic,Train
2005Q2,3.5,Czech Republic,Train
2005Q3,3.31666666666667,Czech Republic,Train
2005Q4,3.61333333333333,Czech Republic,Train
2006Q1,3.46666666666667,Czech Republic,Train
2006Q2,3.94,Czech Republic,Train
2006Q3,3.94,Czech Republic,Train
2006Q4,3.85333333333333,Czech Republic,Train
2007Q1,3.9,Czech Republic,Train
2007Q2,4.20333333333333,Czech Republic,Train
2007Q3,4.52,Czech Republic,Train
2007Q4,4.58666666666667,Czech Republic,Train
2008Q1,4.59,Czech Republic,Train
2008Q2,4.89666666666667,Czech Republic,Train
2008Q3,4.59666666666667,Czech Republic,Train
2008Q4,4.45,Czech Republic,Train
2009Q1,4.70333333333333,Czech Republic,Train
2009Q2,5.25333333333333,Czech Republic,Train
2009Q3,5.17,Czech Republic,Train
2009Q4,4.22333333333333,Czech Republic,Train
2010Q1,4.21,Czech Republic,Train
2010Q2,4.06666666666667,Czech Republic,Train
2010Q3,3.62333333333333,Czech Republic,Train
2010Q4,3.63666666666667,Czech Republic,Train
2011Q1,4.02666666666667,Czech Republic,Train
2011Q2,3.90333333333333,Czech Republic,Train
2011Q3,3.39666666666667,Czech Republic,Train
2011Q4,3.50333333333333,Czech Republic,Train
2012Q1,3.34,Czech Republic,Train
2012Q2,3.31,Czech Republic,Train
2012Q3,2.45,Czech Republic,Train
2012Q4,2.02666666666667,Czech Republic,Train
2013Q1,1.98333333333333,Czech Republic,Train
2013Q2,1.87666666666667,Czech Republic,Train
2013Q3,2.35,Czech Republic,Train
2013Q4,2.23666666666667,Czech Republic,Train
2014Q1,2.30333333333333,Czech Republic,Train
2014Q2,1.76,Czech Republic,Train
2014Q3,1.36,Czech Republic,Train
2014Q4,0.88,Czech Republic,Train
2015Q1,0.366666666666667,Czech Republic,Train
2015Q2,0.623333333333334,Czech Republic,Train
2015Q3,0.796666666666667,Czech Republic,Train
2015Q4,0.513333333333333,Czech Republic,Train
2016Q1,0.476666666666667,Czech Republic,Train
2016Q2,0.446666666666667,Czech Republic,Train
2016Q3,0.303333333333333,Czech Republic,Train
2016Q4,0.483333333333333,Czech Republic,Train
2017Q1,0.656666666666667,Czech Republic,Train
2017Q2,0.823333333333333,Czech Republic,Train
2017Q3,0.9,Czech Republic,Train
2017Q4,1.54333333333333,Czech Republic,Train
2018Q1,1.8,Czech Republic,Train
2018Q2,1.92333333333333,Czech Republic,Train
2018Q3,2.13,Czech Republic,Train
2018Q4,2.07333333333333,Czech Republic,Train
2001Q1,5.08953333333333,Denmark,Train
2001Q2,5.27053333333333,Denmark,Train
2001Q3,5.18253333333333,Denmark,Train
2001Q4,4.832,Denmark,Train
2002Q1,5.2087,Denmark,Train
2002Q2,5.36356666666667,Denmark,Train
2002Q3,4.91516666666667,Denmark,Train
2002Q4,4.73643333333333,Denmark,Train
2003Q1,4.30006666666667,Denmark,Train
2003Q2,4.11563333333333,Denmark,Train
2003Q3,4.30586666666667,Denmark,Train
2003Q4,4.5094,Denmark,Train
2004Q1,4.24816666666667,Denmark,Train
2004Q2,4.43223333333333,Denmark,Train
2004Q3,4.4823,Denmark,Train
2004Q4,4.05613333333333,Denmark,Train
2005Q1,3.72976666666667,Denmark,Train
2005Q2,3.3754,Denmark,Train
2005Q3,3.16523333333333,Denmark,Train
2005Q4,3.3441,Denmark,Train
2006Q1,3.4999,Denmark,Train
2006Q2,4.00913333333333,Denmark,Train
2006Q3,3.92976666666667,Denmark,Train
2006Q4,3.8099,Denmark,Train
2007Q1,4.00283333333333,Denmark,Train
2007Q2,4.38813333333333,Denmark,Train
2007Q3,4.44363333333333,Denmark,Train
2007Q4,4.31183333333333,Denmark,Train
2008Q1,4.08923333333333,Denmark,Train
2008Q2,4.5082,Denmark,Train
2008Q3,4.54513333333333,Denmark,Train
2008Q4,3.98313333333333,Denmark,Train
2009Q1,3.4774,Denmark,Train
2009Q2,3.6236,Denmark,Train
2009Q3,3.66156666666667,Denmark,Train
2009Q4,3.5824,Denmark,Train
2010Q1,3.48813333333333,Denmark,Train
2010Q2,2.99076666666667,Denmark,Train
2010Q3,2.51893333333333,Denmark,Train
2010Q4,2.7064,Denmark,Train
2011Q1,3.1903,Denmark,Train
2011Q2,3.16846666666667,Denmark,Train
2011Q3,2.52696666666667,Denmark,Train
2011Q4,2.03166666666667,Denmark,Train
2012Q1,1.8217,Denmark,Train
2012Q2,1.446,Denmark,Train
2012Q3,1.18623333333333,Denmark,Train
2012Q4,1.1583,Denmark,Train
2013Q1,1.64333333333333,Denmark,Train
2013Q2,1.53,Denmark,Train
2013Q3,1.93666666666667,Denmark,Train
2013Q4,1.87333333333333,Denmark,Train
2014Q1,1.71333333333333,Denmark,Train
2014Q2,1.47333333333333,Denmark,Train
2014Q3,1.09,Denmark,Train
2014Q4,1.03,Denmark,Train
2015Q1,0.376666666666667,Denmark,Train
2015Q2,0.66,Denmark,Train
2015Q3,0.903333333333333,Denmark,Train
2015Q4,0.823333333333334,Denmark,Train
2016Q1,0.616666666666667,Denmark,Train
2016Q2,0.346666666666667,Denmark,Train
2016Q3,0.04,Denmark,Train
2016Q4,0.28,Denmark,Train
2017Q1,0.296666666666667,Denmark,Train
2017Q2,0.573333333333333,Denmark,Train
2017Q3,0.576666666666667,Denmark,Train
2017Q4,0.46,Denmark,Train
2018Q1,0.66,Denmark,Train
2018Q2,0.493333333333333,Denmark,Train
2018Q3,0.34,Denmark,Train
2018Q4,0.33,Denmark,Train
2001Q1,4.99333333333333,Finland,Train
2001Q2,5.21666666666667,Finland,Train
2001Q3,5.13,Finland,Train
2001Q4,4.83333333333333,Finland,Train
2002Q1,5.16,Finland,Train
2002Q2,5.32666666666667,Finland,Train
2002Q3,4.84,Finland,Train
2002Q4,4.59666666666667,Finland,Train
2003Q1,4.13666666666667,Finland,Train
2003Q2,3.94666666666667,Finland,Train
2003Q3,4.13,Finland,Train
2003Q4,4.32666666666667,Finland,Train
2004Q1,4.06333333333333,Finland,Train
2004Q2,4.27666666666667,Finland,Train
2004Q3,4.23666666666667,Finland,Train
2004Q4,3.86,Finland,Train
2005Q1,3.63,Finland,Train
2005Q2,3.33333333333333,Finland,Train
2005Q3,3.14333333333333,Finland,Train
2005Q4,3.29666666666667,Finland,Train
2006Q1,3.44666666666667,Finland,Train
2006Q2,3.94666666666667,Finland,Train
2006Q3,3.93333333333333,Finland,Train
2006Q4,3.80333333333333,Finland,Train
2007Q1,4.03666666666667,Finland,Train
2007Q2,4.38333333333333,Finland,Train
2007Q3,4.44,Finland,Train
2007Q4,4.31333333333333,Finland,Train
2008Q1,4.06666666666667,Finland,Train
2008Q2,4.49,Finland,Train
2008Q3,4.55666666666667,Finland,Train
2008Q4,4.04666666666667,Finland,Train
2009Q1,3.87,Finland,Train
2009Q2,3.89,Finland,Train
2009Q3,3.67333333333333,Finland,Train
2009Q4,3.52,Finland,Train
2010Q1,3.37666666666667,Finland,Train
2010Q2,3.10333333333333,Finland,Train
2010Q3,2.68333333333333,Finland,Train
2010Q4,2.88,Finland,Train
2011Q1,3.37666666666667,Finland,Train
2011Q2,3.39333333333333,Finland,Train
2011Q3,2.73,Finland,Train
2011Q4,2.52333333333333,Finland,Train
2012Q1,2.30666666666667,Finland,Train
2012Q2,1.91,Finland,Train
2012Q3,1.63666666666667,Finland,Train
2012Q4,1.68,Finland,Train
2013Q1,1.72,Finland,Train
2013Q2,1.66333333333333,Finland,Train
2013Q3,2.05666666666667,Finland,Train
2013Q4,2.00333333333333,Finland,Train
2014Q1,1.93666666666667,Finland,Train
2014Q2,1.7,Finland,Train
2014Q3,1.22333333333333,Finland,Train
2014Q4,0.933333333333334,Finland,Train
2015Q1,0.496666666666667,Finland,Train
2015Q2,0.663333333333333,Finland,Train
2015Q3,0.906666666666666,Finland,Train
2015Q4,0.826666666666667,Finland,Train
2016Q1,0.613333333333333,Finland,Train
2016Q2,0.413333333333333,Finland,Train
2016Q3,0.0866666666666667,Finland,Train
2016Q4,0.346666666666667,Finland,Train
2017Q1,0.51,Finland,Train
2017Q2,0.476666666666667,Finland,Train
2017Q3,0.663333333333334,Finland,Train
2017Q4,0.536666666666667,Finland,Train
2018Q1,0.743333333333333,Finland,Train
2018Q2,0.673333333333333,Finland,Train
2018Q3,0.583333333333333,Finland,Train
2018Q4,0.646666666666667,Finland,Train
2001Q1,4.90306666666667,France,Train
2001Q2,5.11896666666667,France,Train
2001Q3,5.0156,France,Train
2001Q4,4.7202,France,Train
2002Q1,5.0546,France,Train
2002Q2,5.20336666666667,France,Train
2002Q3,4.69693333333333,France,Train
2002Q4,4.48996666666667,France,Train
2003Q1,4.1114,France,Train
2003Q2,3.93603333333333,France,Train
2003Q3,4.13373333333333,France,Train
2003Q4,4.3424,France,Train
2004Q1,4.1059,France,Train
2004Q2,4.3066,France,Train
2004Q3,4.1589,France,Train
2004Q4,3.82526666666667,France,Train
2005Q1,3.64193333333333,France,Train
2005Q2,3.37376666666667,France,Train
2005Q3,3.2335,France,Train
2005Q4,3.38856666666667,France,Train
2006Q1,3.5125,France,Train
2006Q2,3.98703333333333,France,Train
2006Q3,3.89736666666667,France,Train
2006Q4,3.78606666666667,France,Train
